Age,Gender,MaritalStatus,Education,EducationField,JobRole,Department,BusinessTravel,MonthlyIncome,DistanceFromHome,JobSatisfaction,JobInvolvement,RelationshipSatisfaction,PerformanceRating,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Churn
24,Female,Married,College,Other,Sales Executive,Sales,Travel_Rarely,4999,3,High,High,Low,Outstanding,3,2,0,2,No
28,Male,Married,Bachelor,Medical,Sales Executive,Sales,Non-Travel,4221,4,High,High,Medium,Excellent,5,4,0,4,No
58,Male,Single,Master,Medical,Sales Executive,Sales,Travel_Rarely,13872,10,High,High,High,Excellent,37,10,1,8,No
44,Male,Married,Bachelor,Medical,Laboratory Technician,Research & Development,Non-Travel,2042,23,Medium,High,High,Excellent,3,2,1,2,No
37,Male,Divorced,Master,Human Resources,Human Resources,Human Resources,Travel_Rarely,2073,6,Low,High,Very High,Outstanding,3,2,0,2,Yes
32,Male,Single,Below College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2956,1,Low,High,Very High,Excellent,1,0,0,0,No
20,Female,Single,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Frequently,2926,6,Very High,Medium,Medium,Excellent,1,0,1,0,Yes
34,Female,Single,Master,Other,Research Scientist,Research & Development,Travel_Rarely,4809,6,High,High,High,Excellent,16,13,2,10,No
37,Male,Divorced,College,Life Sciences,Healthcare Representative,Research & Development,Non-Travel,5163,2,Very High,Medium,Very High,Excellent,1,0,0,0,No
59,Female,Married,Master,Human Resources,Manager,Human Resources,Non-Travel,18844,2,Very High,Medium,Very High,Outstanding,3,2,2,2,No
50,Female,Married,Bachelor,Life Sciences,Research Director,Research & Development,Travel_Frequently,18172,1,Medium,High,Low,Excellent,8,3,0,7,No
25,Male,Single,Bachelor,Marketing,Sales Executive,Sales,Travel_Rarely,5744,5,High,Medium,Very High,Excellent,6,4,0,3,Yes
25,Male,Married,Below College,Medical,Research Scientist,Research & Development,Travel_Rarely,2889,7,Very High,Medium,High,Excellent,2,2,2,1,No
22,Female,Single,Bachelor,Medical,Laboratory Technician,Research & Development,Travel_Rarely,2871,15,Very High,High,High,Excellent,0,0,0,0,No
51,Female,Single,Master,Medical,Healthcare Representative,Research & Development,Travel_Frequently,7484,1,Low,Medium,High,Outstanding,13,12,12,8,No
34,Male,Single,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Frequently,6074,7,High,Low,Very High,Outstanding,9,7,0,6,Yes
54,Female,Single,Bachelor,Human Resources,Manager,Human Resources,Non-Travel,17328,26,Very High,Very High,High,Excellent,5,3,4,4,No
24,Male,Married,Below College,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2774,18,High,High,High,Excellent,5,3,1,2,No
34,Female,Divorced,Master,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,4505,6,Medium,Medium,High,Excellent,1,0,0,0,No
37,Male,Single,Bachelor,Life Sciences,Sales Executive,Sales,Travel_Rarely,7428,3,Very High,High,Low,Excellent,5,3,1,3,No
34,Female,Single,Bachelor,Medical,Manager,Research & Development,Travel_Rarely,11631,5,Low,Medium,Very High,Excellent,11,10,5,8,No
36,Female,Married,College,Technical Degree,Sales Executive,Sales,Travel_Frequently,9738,11,Very High,High,High,Excellent,9,7,2,8,No
36,Female,Divorced,College,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2835,3,Very High,High,Low,Outstanding,1,0,0,0,No
43,Male,Married,College,Life Sciences,Manager,Sales,Travel_Frequently,16959,26,Very High,High,Very High,Excellent,25,12,4,12,No
30,Male,Divorced,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Frequently,2613,23,High,Low,High,Outstanding,10,7,0,9,No
33,Male,Married,College,Marketing,Sales Executive,Sales,Non-Travel,6146,22,Medium,High,Low,Excellent,7,7,0,7,No
56,Female,Married,Master,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,4963,14,Medium,High,Low,Excellent,5,4,4,3,Yes
51,Male,Single,Bachelor,Life Sciences,Research Director,Research & Development,Travel_Rarely,19537,6,High,High,High,Excellent,20,18,15,15,No
31,Male,Married,Master,Life Sciences,Sales Executive,Sales,Travel_Rarely,6172,6,High,Low,Medium,Excellent,7,7,7,7,Yes
26,Female,Married,Bachelor,Other,Research Scientist,Research & Development,Travel_Rarely,2368,6,Medium,Medium,High,Excellent,5,4,4,3,No
58,Female,Married,Master,Medical,Healthcare Representative,Research & Development,Travel_Rarely,10312,23,Very High,High,Very High,Excellent,40,10,15,6,Yes
19,Male,Single,Below College,Marketing,Sales Representative,Sales,Travel_Rarely,1675,22,High,High,Very High,Excellent,0,0,0,0,Yes
22,Male,Married,Below College,Technical Degree,Laboratory Technician,Research & Development,Travel_Rarely,2523,2,Very High,High,High,Excellent,2,1,2,1,No
49,Female,Married,Master,Medical,Manufacturing Director,Research & Development,Travel_Rarely,6567,20,Low,High,High,Excellent,15,11,5,11,No
43,Female,Single,Bachelor,Medical,Research Scientist,Research & Development,Travel_Frequently,4739,28,High,Very High,Very High,Excellent,3,2,1,2,No
50,Female,Single,Bachelor,Marketing,Sales Executive,Sales,Travel_Frequently,9208,12,Very High,High,Very High,Excellent,2,2,2,1,No
31,Female,Married,Bachelor,Life Sciences,Sales Executive,Sales,Travel_Rarely,4559,20,High,Low,High,Excellent,2,2,2,2,Yes
41,Male,Divorced,Below College,Life Sciences,Sales Executive,Sales,Travel_Rarely,8189,9,High,High,High,Excellent,9,7,0,7,No
26,Female,Married,Below College,Life Sciences,Human Resources,Human Resources,Travel_Rarely,2942,25,High,High,Very High,Outstanding,8,7,5,7,No
36,Male,Divorced,College,Medical,Manufacturing Director,Research & Development,Travel_Rarely,4941,6,Medium,High,Very High,Outstanding,3,2,0,1,No
51,Male,Single,Master,Life Sciences,Manufacturing Director,Research & Development,Travel_Frequently,10650,8,Very High,Low,Very High,Excellent,4,2,0,3,Yes
39,Female,Married,Master,Life Sciences,Sales Executive,Sales,Travel_Rarely,5902,4,High,Medium,High,Excellent,15,11,5,9,No
25,Male,Married,Bachelor,Life Sciences,Sales Executive,Sales,Travel_Rarely,8639,28,High,Medium,Very High,Excellent,2,2,2,2,No
30,Male,Married,Bachelor,Human Resources,Human Resources,Human Resources,Travel_Rarely,6347,9,Very High,High,Very High,Excellent,11,9,4,7,No
32,Female,Single,Bachelor,Medical,Laboratory Technician,Research & Development,Travel_Rarely,4200,9,Low,High,Low,Outstanding,5,4,0,4,Yes
45,Male,Single,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,3452,29,Very High,High,Medium,Excellent,6,5,0,3,No
38,Female,Single,Doctor,Technical Degree,Research Scientist,Research & Development,Travel_Rarely,4317,3,High,High,Medium,Outstanding,3,2,2,2,No
30,Female,Single,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2632,18,High,High,High,Excellent,5,4,0,4,No
32,Male,Divorced,College,Medical,Sales Executive,Sales,Travel_Frequently,4668,9,Very High,Low,Very High,Excellent,8,7,0,7,No
30,Female,Divorced,Bachelor,Technical Degree,Research Scientist,Research & Development,Travel_Rarely,3204,5,Low,High,Very High,Excellent,3,2,2,2,No
30,Male,Single,Below College,Medical,Laboratory Technician,Research & Development,Travel_Rarely,2720,2,Very High,Medium,Very High,Excellent,5,3,1,2,No
41,Male,Divorced,Bachelor,Life Sciences,Manager,Research & Development,Travel_Frequently,17181,10,Low,Medium,Medium,Excellent,7,6,7,7,No
41,Male,Married,Master,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2238,9,Low,High,Very High,Outstanding,5,0,1,4,No
19,Female,Single,Below College,Medical,Laboratory Technician,Research & Development,Travel_Rarely,1483,3,Medium,High,Very High,Excellent,1,0,0,0,No
40,Female,Divorced,Bachelor,Medical,Research Scientist,Research & Development,Travel_Frequently,5605,26,Medium,High,Low,Excellent,20,7,2,13,No
35,Male,Married,Doctor,Marketing,Sales Executive,Sales,Travel_Rarely,7295,1,Medium,High,Low,Excellent,10,8,0,6,No
53,Male,Married,College,Marketing,Sales Representative,Sales,Travel_Rarely,2306,6,High,High,Very High,Outstanding,7,7,4,5,No
45,Male,Divorced,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2348,9,Medium,High,High,Excellent,17,9,0,15,No
32,Female,Single,Bachelor,Marketing,Sales Executive,Sales,Travel_Frequently,8998,8,Very High,High,Very High,Excellent,9,8,3,7,No
29,Male,Married,Below College,Technical Degree,Manufacturing Director,Research & Development,Non-Travel,4319,1,High,High,Low,Excellent,10,7,0,9,No
51,Male,Married,Master,Medical,Manufacturing Director,Research & Development,Travel_Rarely,6132,7,High,Medium,High,Excellent,1,0,0,0,No
58,Female,Married,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,3346,9,Medium,Medium,Medium,Outstanding,1,0,0,0,No
40,Male,Married,Master,Marketing,Sales Executive,Sales,Travel_Rarely,10855,4,Very High,Medium,Low,Excellent,12,11,2,11,No
34,Female,Married,Master,Marketing,Sales Representative,Sales,Travel_Frequently,2231,2,High,High,Very High,Excellent,4,3,1,2,No
22,Male,Married,Below College,Medical,Research Scientist,Research & Development,Travel_Rarely,2323,19,Very High,High,Low,Outstanding,2,2,2,2,No
27,Male,Divorced,Bachelor,Medical,Research Scientist,Research & Development,Non-Travel,2024,9,Medium,High,Very High,Excellent,2,2,2,2,No
28,Male,Married,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,2713,21,Very High,High,High,Excellent,5,2,0,2,No
57,Male,Divorced,College,Life Sciences,Healthcare Representative,Research & Development,Travel_Rarely,9439,24,Very High,Very High,Medium,Excellent,5,3,1,4,No
27,Male,Divorced,Bachelor,Medical,Research Scientist,Research & Development,Non-Travel,2566,3,High,Medium,Very High,Excellent,1,1,0,1,No
50,Female,Single,Bachelor,Life Sciences,Manager,Research & Development,Travel_Rarely,19926,11,Medium,High,Medium,Excellent,5,4,4,4,No
41,Male,Divorced,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2451,14,High,High,Low,Excellent,9,8,1,8,No
30,Female,Married,Bachelor,Life Sciences,Sales Executive,Sales,Travel_Rarely,9419,5,Very High,High,High,Excellent,10,9,7,4,No
38,Female,Single,Master,Life Sciences,Sales Executive,Sales,Travel_Rarely,8686,1,Very High,Medium,High,Outstanding,8,3,0,7,No
32,Male,Single,Doctor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,3038,6,High,High,Low,Outstanding,5,4,1,4,No
27,Male,Married,Bachelor,Technical Degree,Research Scientist,Research & Development,Travel_Rarely,3058,17,Medium,High,Very High,Excellent,5,2,1,1,No
19,Female,Single,Below College,Technical Degree,Sales Representative,Sales,Travel_Frequently,2325,1,Low,Low,Low,Outstanding,0,0,0,0,Yes
36,Male,Single,College,Medical,Laboratory Technician,Research & Development,Travel_Frequently,2088,3,Medium,High,High,Excellent,8,7,7,2,No
30,Male,Divorced,Bachelor,Medical,Laboratory Technician,Research & Development,Non-Travel,3072,9,Low,High,High,Excellent,12,9,6,10,No
45,Female,Divorced,College,Life Sciences,Sales Executive,Sales,Travel_Rarely,5006,4,Low,High,Low,Excellent,5,4,0,3,No
56,Female,Divorced,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,4257,8,Low,High,High,Excellent,2,2,2,2,No
33,Male,Single,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2500,2,Very High,High,Low,Excellent,3,1,0,2,No
19,Male,Single,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,1102,2,Very High,Medium,High,Outstanding,1,0,1,0,Yes
46,Female,Divorced,College,Marketing,Sales Executive,Sales,Travel_Rarely,10453,1,Low,High,High,Outstanding,24,13,15,7,No
38,Female,Single,College,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2288,9,Very High,High,High,Excellent,2,2,2,1,No
31,Female,Married,Below College,Medical,Research Scientist,Research & Development,Travel_Rarely,3929,12,Very High,High,High,Outstanding,4,2,0,2,No
34,Female,Single,College,Medical,Research Scientist,Research & Development,Travel_Rarely,2311,27,Medium,High,Very High,Excellent,3,2,1,2,No
41,Female,Single,College,Marketing,Sales Representative,Sales,Travel_Rarely,3140,20,Medium,High,Very High,Outstanding,4,3,0,2,Yes
50,Male,Married,Bachelor,Medical,Laboratory Technician,Research & Development,Travel_Rarely,3690,1,High,Medium,Very High,Excellent,3,2,0,2,No
53,Female,Divorced,College,Medical,Manufacturing Director,Research & Development,Travel_Rarely,4450,13,Low,Very High,High,Excellent,4,2,1,3,No
33,Female,Married,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,2756,14,Medium,High,Very High,Excellent,8,7,1,6,No
40,Female,Married,Below College,Medical,Manager,Research & Development,Travel_Rarely,19033,4,High,High,Medium,Excellent,20,8,9,9,No
55,Male,Single,Master,Medical,Research Director,Research & Development,Travel_Rarely,18722,14,Medium,Very High,Very High,Excellent,24,15,2,15,No
34,Male,Married,Below College,Life Sciences,Manufacturing Director,Research & Development,Travel_Frequently,9547,2,High,Medium,High,Excellent,10,9,1,9,No
51,Female,Single,Bachelor,Medical,Healthcare Representative,Research & Development,Travel_Rarely,13734,3,Medium,High,High,Excellent,7,7,1,0,No
52,Male,Married,Master,Life Sciences,Manager,Research & Development,Travel_Rarely,19999,1,High,Medium,Low,Excellent,33,18,11,9,No
27,Female,Single,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,2279,9,Medium,High,Very High,Excellent,7,7,0,3,No
35,Male,Married,College,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,5916,23,High,Medium,Low,Excellent,1,0,0,1,Yes
43,Male,Divorced,Bachelor,Medical,Research Scientist,Research & Development,Non-Travel,2089,7,Very High,Very High,Very High,Excellent,5,4,2,2,No
45,Male,Married,College,Medical,Manager,Research & Development,Non-Travel,16792,2,Very High,Medium,Very High,Outstanding,20,8,11,8,No
37,Male,Married,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,3564,21,Low,Very High,Low,Excellent,8,7,1,7,No
35,Female,Single,Bachelor,Medical,Laboratory Technician,Research & Development,Travel_Frequently,4425,2,Medium,High,Very High,Excellent,6,2,1,2,No
